S. No.,Category,States,Title of the Project,Total Cost of the Project,Amount Released
1,Approved and Sanctioned Projects in the F. Y. 2015-16,Kerala,Promotion of integrated farming system of Kaipad in coastal wetlands of North Kerala,25,12.5
2,Approved and Sanctioned Projects in the F. Y. 2015-16,Jammu & Kashmir,Climate Resilient Sustainable Agriculture in Rain-Fed Farming (Kandi) Areas of Jammu & Kashmir,22.51,11.25
3,Approved and Sanctioned Projects in the F. Y. 2015-16,Mizoram,"Sustainable Agriculture Development through Expansion, Enhancement and Modelling in the state of Mizoram",10.38,5.19
4,Approved and Sanctioned Projects in the F. Y. 2015-16,Punjab,Towards Climate Resilient Livestock Production System in Punjab.,17.4,13.92
5,Approved and Sanctioned Projects in the F. Y. 2015-16,Telangana,"Resilient Agricultural Households through Adaptation to Climate Change in Mahbubnagar district, Telangana.",24,6
6,Approved and Sanctioned Projects in the F. Y. 2015-16,Himachal Pradesh,Sustainable Livelihoods of agriculture-dependent Rural communities in drought prone district of Himachal Pradesh through climate smart solutions.,20,10
7,Approved and Sanctioned Projects in the F. Y. 2015-16,Puducherry,Integrated Surface Water Management through rejuvenation of 20 tanks and 32 village ponds for Climate Change Adaptation in Puducherry,16.76,3.95
8,Approved and Sanctioned Projects in the F. Y. 2015-16,Meghalaya,Spring-shed development works for rejuvenation of springs for climate resilient development in the water stressed areas of Meghalaya,22.91,11.45
9,Approved and Sanctioned Projects in the F. Y. 2015-16,Odisha,Conserve Water through the Management of runoff in the River basin to improve ground water recharge to reduce vulnerability and enhance resilience for traditional livelihood in Nuapada,20,16
10,Approved and Sanctioned Projects in the F. Y. 2015-16,Chhattisgarh,Climate Adaptation Strategies in Wetlands along Mahanadi River Catchment areas in Chhattisgarh,21.47,10.73
11,Approved and Sanctioned Projects in the F. Y. 2015-16,Manipur,Model Carbon Positive Eco-Village in Phayeng of Manipur,10,5
12,Approved and Sanctioned Projects in the F. Y. 2015-16,Tamil Nadu,"Management and rehabilitation of coastal habitats and biodiversity for climate Change Adaptation and Sustainable Livelihood in Gulf of Mannar, Tamil Nadu, India",24.74,12.37
Total,Approved and Sanctioned Projects in the F. Y. 2015-16,Total,Total Cost in the F.Y 2015-16,235.17,118.36
13,Approved and Sanctioned Projects in the F. Y. 2016-17,Andhra Pradesh,Climate Resilient interventions in Dairy Sector in coastal and Arid areas in Andhra Pradesh.,12.71,6.36
14,Approved and Sanctioned Projects in the F. Y. 2016-17,Haryana,Scaling-up Resilient Agriculture Practices towards Climate Smart Villages in Haryana,22.09,8.77
15,Approved and Sanctioned Projects in the F. Y. 2016-17,Karnataka,Conservation and Management of Indigenous varieties of livestock (Cattle and Sheep) in the Wake of Climate Change in Karnataka.,24.22,12.11
